Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Poboljšanje vodoopskrbe na području grada Ploča,Kohezijski fond,EN,Okoliš,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"IZVOR Ploče, javna ustanova za komunalne djelatnosti",9475552617,07.03.2016,31.05.2016,"4.529.432,84 kn","5.328.744,51 kn",,,,,
"IZGRADNJA PODSUSTAVA ODVODNJE BLATO-GLAVNI KANALIZACIJSKI KOLEKTORI I CRPNE STANICE, TE ZAMJENA VODOVODNIH CIJEVI USPOREDNO SA IZGRADNJOM KANALIZACIJE",Kohezijski fond,EN,Okoliš,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Vodovod d.o.o. ,25167296962,15.03.2016,30.11.2016,"19.974.629,79 kn","28.633.767,38 kn",,,,,
Agroturistički inovativni menadžment ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Poljoprivredna škola  ,24154741411,23.04.2015,23.04.2016,"1.398.231,61 kn","1.398.231,61 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
Interdisciplinarni model terminološkoga upravljanja – sociokognitivni temelj obradbe strukovnih jezika (IMOTEP),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Institut za hrvatski jezik i jezikoslovlje ,12268324202,29.06.2015,29.09.2016,"286.505,32 kn","286.505,32 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Nezavisni cestarski sindikat ,84712436363,29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn",,,,,
„Solidarnost i kvaliteta u pružanju socijalnih usluga“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga MI ,15816581765,29.12.2014,28.12.2015,"749.989,67 kn","749.989,67 kn",,,,,
E-DUTEKA- Jačanje kapaciteta OCD-a Dubrovačko-neretvanske županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga Dubrovačka naranča ,38209260446,29.12.2014,28.12.2015,"200.000,00 kn","200.000,00 kn",,,,,
"ZNANJEM DO USPJEHA, MIKRO AKCIJE ZA MAKRO UTJECAJ U LOKALNOJ ZAJEDNICI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Udruga za promicanje informatike i sporta ""Enter“",67329561690,29.12.2014,28.09.2015,"198.206,98 kn","198.206,98 kn",,,,,
Usvajanje načela HKO u visokoobrazovnim institucijama u polju ekonomija - ECONQUAL,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Rijeci, Ekonomski fakultet",26093119930,18.06.2015,18.09.2016,"3.794.856,45 kn","3.994.842,20 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,KINEZIOLOŠKI FAKULTET SPLIT ,57848936921,18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn",,,,,
"Ravnatelj:  profesija i  kvalifikacija,  a ne funkcija",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Sveučilište u Zadru ,10839679016,18.06.2015,18.09.2016,"1.945.631,22 kn","2.048.032,87 kn",,,,,
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Pravni fakultet u Zagrebu ,38583303160,30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn",,,,,
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Prehrambeno-tehnološki fakultet ,96371000697,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn",,,,,
Spin Asistent +,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske udruge paraplegičara i tetraplegičara ,24105496418,29.10.2015,28.10.2016,"744.665,55 kn","744.665,55 kn",,,,,
Zajedno možemo sve!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Dubrovačko-neretvanska županija ,32082115313,14.11.2014,31.08.2015,"1.926.995,08 kn","1.926.995,08 kn",,,,,
Grad Korčula prijatelj poduzetnika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Grad Korčula ,92770362982,20.07.2015,19.07.2016,"296.961,00 kn","296.961,00 kn",,,,,
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatski zavod za zapošljavanje ,91547293790,09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn",,,,,
Dijalog za sigurnost - sigurnost za dijalog,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Sindikat policije Hrvatske ,26439251742,27.07.2015,26.06.2016,"1.207.572,11 kn","1.207.572,11 kn",,,,,
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Savez samostalnih sindikata Hrvatske ,602600385,27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn",,,,,
Širenje usluge osobne asistencije za osobe s invaliditetom Istarske županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,DRUŠTVO MULTIPLE SKLEROZE ISTARSKE ŽUPANIJE ,34630041549,29.10.2015,15.11.2016,"498.985,34 kn","498.985,34 kn",,,,,
Širenje usluge osobne asistencije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga distrofičara Krapina ,13391202745,29.10.2015,28.10.2016,"563.169,06 kn","563.169,06 kn",,,,,
Širenje usluge osobne asistencije za osobe s najtežim stupnjem invaliditeta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga osoba s mišićnom distrofijom Primorsko-goranske županije ,71954510830,29.10.2015,28.10.2016,"743.644,00 kn","743.644,00 kn",,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,ISTARSKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
Dizajn butik hotel Rivalmare 4* ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,"VISION društvo s ograničenom odgovornošću za turizam, putnička agencija i zastupanje",73318086520,01.08.2014,10.04.2016,"7.173.022,16 kn","12.024.625,49 kn",,,,,
Primjena inovativnih tehnologija u izolaciji bioaktivnih spojeva iz organskog otpada u proizvodnji vina,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,"Sveučilište u Zagrebu, Prehrambeno-biotehnološki fakultet",47824453867,16.10.2014,16.02.2016,"3.007.771,86 kn","4.227.980,00 kn",,,,,
Jačanje konkurentnosti poduzeća Anilox d.o.o. integracijom i modernizacijom poslovnih procesa ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,"ANILOX društvo s ograničenom odgovornošću za proizvodnju grafičke opreme, grafičku obradu i konzalting",41243852327,13.08.2015,31.07.2016,"746.991,00 kn","1.067.130,00 kn",,,,,
Poboljšanje Poslovnih Procesa Uniline- triP Uniline,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,Uniline d.o.o. ,74786390334,15.01.2015,01.07.2016,"750.000,00 kn","1.082.041,96 kn",,,,,
Povećanje konkurentnosti i učinkovitosti uvođenjem integriranog ERP i CRM sustava,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,Filix d.o.o. ,706597351,16.01.2015,15.07.2016,"439.103,70 kn","627.291,00 kn",,,,,
Informatizacija i automatizacija proizvodnih i poslovnih procesa,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,BRAJ KOP ,17754872394,10.02.2015,01.08.2015,"593.513,21 kn","847.876,02 kn",,,,,
Informatizacija proizvodnih i poslovnih procesa implementacijom programskih sustava,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,Pero & Co  ,57401375514,16.02.2015,01.10.2015,"577.313,60 kn","824.733,72 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,ISTARSKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn",,,,,
Heureka - spoznajom do uspjeha,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Srednja škola Ivanec ,42359743872,23.10.2015,22.10.2016,"1.338.388,39 kn","1.338.388,39 kn",,,,,
Sustav odvodnje s uređajima za pročišćavanje otpadnih voda grada Poreča,Kohezijski fond,EN,Okoliš,Adriatic Croatia,ISTARSKA,ODVODNJA POREČ d.o.o.  ,67294322519,03.04.2014,11.11.2016,"370.938.227,58 kn","501.218.004,00 kn",,,,,
Projekt izgradnje dijela sustava javne odvodnje na području aglomeracije Rovinj,Kohezijski fond,EN,Okoliš,Adriatic Croatia,ISTARSKA,ODVODNJA ROVINJ-ROVIGNO  d.o.o. ,47873119402,03.03.2016,31.12.2016,"6.250.096,75 kn","7.353.055,00 kn",,,,,
Jačanjem kapaciteta do socijalne uključenosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga za promicanje stvaralaštva Art studio ,23004270820,29.12.2014,28.12.2015,"182.428,00 kn","182.428,00 kn",,,,,
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Nezavisni cestarski sindikat ,84712436363,29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn",,,,,
Zajedno do cilja ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,INAŠ - Sindikat naftne djelatnosti ,78734140349,27.07.2015,26.07.2016,"783.577,66 kn","783.577,66 kn",,,,,
"""3R""  (razgovor- razumijevanje- rezultat)",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Hrvatski sindikat pošte ,23353461188,27.07.2015,26.07.2016,"958.445,75 kn","958.445,75 kn",,,,,
Edukacija za sigurniji transport,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Magrad d.o.o. ,85734339856,28.07.2015,27.06.2016,"40.923,36 kn","43.200,00 kn",,,,,
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Institut za razvoj poduzetništva i europske projekte ,68105934277,21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn",,,,,
Usvajanje načela HKO u visokoobrazovnim institucijama u polju ekonomija - ECONQUAL,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Sveučilište u Rijeci, Ekonomski fakultet",26093119930,18.06.2015,18.09.2016,"3.794.856,45 kn","3.994.842,20 kn",,,,,
"""Unaprijeđenje sadržaja elektrotehničke grupe predmeta - USEGP""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Gimnazija i strukovna škola Jurja Dobrile Pazin ,89025673993,23.04.2015,23.04.2016,"1.042.419,00 kn","1.042.419,00 kn",,,,,
Burza poduzetničkih ideja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Udruga mladih i diplomiranih studenata Fakulteta ekonomije i  turizma ""Dr. Mijo Mirković"" Sveučilišta Jurja Dobrile u Puli",19012528262,29.12.2014,28.10.2015,"199.775,52 kn","202.325,52 kn",,,,,
Društveno poduzetnički generator,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Savez udruga Rojca ,79571628324,29.12.2014,28.12.2015,"199.935,08 kn","199.935,08 kn",,,,,
"""SNAGOM ZAJEDNIŠTVA"" - Razvoj volonterizma u svrhu smanjenja socijalne isključenosti i poboljšanja kvalitete života osoba treće životne dobi.",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,MATICA UMIROVLJENIKA HRVATSKE UDRUGA BUZET ,50978864201,29.12.2014,28.12.2015,"200.000,00 kn","200.000,00 kn",,,,,
milo za drago,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Udruga ""TRENUTAK.39""",59058493754,29.12.2014,28.12.2015,"199.550,35 kn","199.550,35 kn",,,,,
Senior Star,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Gradska udruga umirovljenika Pazin ,44202969744,29.12.2014,28.12.2015,"195.624,00 kn","195.624,00 kn",,,,,
Život pun mogućnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Centar za inkluziju i podršku u zajednici ,6445649906,01.07.2015,31.08.2016,"1.458.765,00 kn","1.458.765,00 kn",,,,,
Podrška u zajednici - TRIP B (Skraćeno TRIP B),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Dom za odrasle osobe Vila Maria ,71297971198,13.07.2015,12.07.2016,"1.134.831,50 kn","1.219.756,55 kn",,,,,
GERONTOLOŠKI CENTAR VILA TRAPP PULA,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Dom za starije osobe Alfredo Štiglić Pula – Casa per anziani Alfredo Štiglić Pola ,92688800461,20.07.2015,19.09.2016,"1.311.964,66 kn","1.414.728,61 kn",,,,,
Osnaživanjem organizacija civilnog društva do kvalitetnijih socijalnih usluga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga osoba s intelektualnim teškoćama Istre - UOITI ,6200462168,29.12.2014,28.02.2016,"705.245,93 kn","705.245,93 kn",,,,,
SUPPORT - SUstavna Podrška za POdršku Roditeljstvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Udruga za promicanje dobrobiti djece ""Portić""",3827102663,29.12.2014,28.02.2016,"641.089,32 kn","641.089,32 kn",,,,,
EKO JE FORA,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,DIOPTER - OTVORENO UČILIŠTE ,34282875099,30.11.2015,29.11.2016,"1.386.094,99 kn","1.459.047,36 kn",,,,,
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Prehrambeno-tehnološki fakultet ,96371000697,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn",,,,,
"""Novo znanje za buduće zvanje""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Pučko otvoreno učilište Pazin ,58525559545,30.11.2015,29.11.2016,"1.252.443,15 kn","1.318.361,22 kn",,,,,
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Pravni fakultet u Zagrebu ,38583303160,30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn",,,,,
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,KINEZIOLOŠKI FAKULTET SPLIT ,57848936921,18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn",,,,,
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET",70221464726,18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn",,,,,
Razvoj stručnog studija održivog agroturizma kroz Hrvatski kvalifikacijski okvir,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Veleučilište u Rijeci ,29573709870,18.06.2015,18.09.2016,"1.690.444,44 kn","1.779.415,20 kn",,,,,
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Filozofski fakultet Sveučilišta u Splitu ,98004523293,30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn",,,,,
''S nama na zelenu granu'',Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Pučko otvoreno učilište ''Ante Babić'' Umag - Universita' popolare aperta ''Ante Babić'' Umago  ,18516892519,30.11.2015,29.11.2016,"686.373,07 kn","732.600,14 kn",,,,,
Znanjem do boljeg socijalnog dijaloga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Sindikat metalaca Hrvatske – Industrijski sindikat  ,97064188151,27.07.2015,26.07.2016,"923.934,49 kn","923.934,49 kn",,,,,
InCITY – uspostava bipartitnog odnosa u socijalnom dijalogu između lokalne samouprave i poduzetnika Grada Buzeta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Grad Buzet ,77489969256,27.07.2015,26.07.2016,"559.760,00 kn","559.760,00 kn",,,,,
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Savez samostalnih sindikata Hrvatske ,602600385,27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn",,,,,
Dijalog za sigurnost - sigurnost za dijalog,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Sindikat policije Hrvatske ,26439251742,27.07.2015,26.06.2016,"1.207.572,11 kn","1.207.572,11 kn",,,,,
Promocija poduzetništva i obrta u šumarskom i drvnom sektoru,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Institut za razvoj i međunarodne odnose ,31120185175,20.07.2015,19.07.2016,"295.220,84 kn","295.220,84 kn",,,,,
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Hrvatski zavod za zapošljavanje ,91547293790,09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn",,,,,
Školovanje bez diskriminacije - ulog u tolerantno društvo ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Istarska županija ,90017522601,03.11.2014,31.08.2015,"3.222.213,12 kn","3.664.104,08 kn",,,,,
Spin Asistent +,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Hrvatske udruge paraplegičara i tetraplegičara ,24105496418,29.10.2015,28.10.2016,"744.665,55 kn","744.665,55 kn",,,,,
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Ministarstvo socijalne politike i mladih ,15351583880,18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn",,,,,
Alge kremenjašice - deskriptor ekološkog stanja Plitvičkih jezera RH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,"Sveučilište u Zagrebu, Prirodoslovno-matematički faultet",28163265527,29.06.2015,29.09.2016,"560.232,24 kn","581.636,46 kn",,,,,
Moja karijera u ugostiteljstvu i turizmu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Srednja škola Plitvička jezera ,67749942551,27.04.2015,27.04.2016,"751.094,00 kn","751.094,00 kn",,,,,
Širenje usluge osobne asistencije za osobe s najtežim stupnjem invaliditeta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,LIČKO-SENJSKA,Udruga osoba s mišićnom distrofijom Primorsko-goranske županije ,71954510830,29.10.2015,28.10.2016,"743.644,00 kn","743.644,00 kn",,,,,
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,LIČKO-SENJSKA,Hrvatske ceste d.o.o. ,55545787885,16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn",,,,,
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,LIČKO-SENJSKA,HŽ Infrastruktura d.o.o. ,39901919995,08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn",,,,,
Centar za posjetitelje Krasno,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,LIČKO-SENJSKA,Javna ustanova Nacionalni park Sjeverni Velebit ,24661445515,23.10.2014,30.09.2016,"29.567.355,59 kn","30.986.539,09 kn",,,,,
